,Zipcode,Borough,Price,Rent,LAT,LNG
0,10001,Manhattan,1274766.0,3667.0,40.750633,-73.99717700000002
1,10002,Manhattan,1103197.0,3759.0,40.715775,-73.986212
2,10004,Manhattan,1236730.0,4053.0,40.68863,-74.018244
3,10005,Manhattan,1163758.0,4014.0,40.706027,-74.00883499999998
4,10006,Manhattan,850713.0,3752.0,40.709614,-74.01295400000002
5,10009,Manhattan,846390.0,3502.0,40.726399,-73.97863100000002
6,10010,Manhattan,850366.0,3810.0,40.739065,-73.98225500000002
7,10016,Manhattan,788740.0,3440.0,40.745224,-73.978297
8,10017,Manhattan,636579.0,3101.0,40.75236,-73.972493
9,10018,Manhattan,1015554.0,3620.0,40.755319,-73.993114
10,10019,Manhattan,1087657.0,3878.0,40.765823,-73.987169
11,10022,Manhattan,897790.0,3828.0,40.758628,-73.96794799999998
12,10023,Manhattan,1162100.0,4123.0,40.775921,-73.982607
13,10025,Manhattan,1182534.0,3873.0,40.798601,-73.966622
14,10026,Manhattan,912890.0,3042.0,40.802381,-73.95268100000001
15,10030,Manhattan,778761.0,2921.0,40.818267,-73.942856
16,10031,Manhattan,591422.0,2695.0,40.825288,-73.95004499999997
17,10032,Manhattan,572346.0,2807.0,40.838815,-73.942836
18,10033,Manhattan,622893.0,2636.0,40.850545,-73.933983
19,10034,Manhattan,540297.0,2533.0,40.867076,-73.924312
20,10035,Manhattan,658715.0,2679.0,40.795455,-73.92965500000003
21,10036,Manhattan,955889.0,3329.0,40.75926,-73.98986
22,10037,Manhattan,535694.0,2567.0,40.812957,-73.937376
23,10069,Manhattan,1987734.0,3896.0,40.775906,-73.990358
24,10128,Manhattan,1046348.0,3745.0,40.781432,-73.950013
25,10301,Staten,310951.0,2066.0,40.627456,-74.09440699999998
26,10302,Staten,362380.0,2077.0,40.630688,-74.137776
27,10303,Staten,323446.0,2191.0,40.629885,-74.17413
28,10304,Staten,409596.0,2050.0,40.609227,-74.092575
29,10305,Staten,417903.0,2095.0,40.596691,-74.074866
30,10306,Staten,346784.0,2101.0,40.571768,-74.12595
31,10307,Staten,328328.0,1814.0,40.509183,-74.237785
32,10308,Staten,355903.0,2123.0,40.551884,-74.147646
33,10309,Staten,403026.0,1795.0,40.531346,-74.21985699999998
34,10312,Staten,428181.0,1999.0,40.545237,-74.18044300000003
35,10314,Staten,372971.0,2123.0,40.599263,-74.165748
36,10452,Bronx,261475.0,1894.0,40.837393,-73.92343699999998
37,10455,Bronx,257899.0,1875.0,40.81471,-73.90859300000002
38,10456,Bronx,277850.0,1934.0,40.829881,-73.90812
39,10458,Bronx,169369.0,1800.0,40.862543,-73.888143
40,10459,Bronx,274534.0,1828.0,40.825867,-73.892942
41,10462,Bronx,178454.0,1756.0,40.84328,-73.860389
42,10463,Bronx,319548.0,2029.0,40.880678,-73.90654
